기수1,기수2,동반출전,동반입상,확률%
김성현,김철호,41,1,2.44
김성현,문세영,62,9,14.52
김성현,문정균,52,2,3.85
김성현,박태종,31,1,3.23
김성현,씨씨웡,57,2,3.51
김성현,이혁,72,3,4.17
김성현,임다빈,84,4,4.76
김성현,정정희,87,4,4.6
김성현,조재로,72,7,9.72
김성현,코지,41,1,2.44
김철호,문세영,47,5,10.64
김철호,문정균,36,4,11.11
김철호,박태종,20,0,0.0
김철호,씨씨웡,40,4,10.0
김철호,이혁,53,2,3.77
김철호,임다빈,70,4,5.71
김철호,정정희,60,1,1.67
김철호,조재로,53,3,5.66
김철호,코지,37,0,0.0
문세영,문정균,63,5,7.94
문세영,박태종,42,4,9.52
문세영,씨씨웡,75,7,9.33
문세영,이혁,91,11,12.09
문세영,임다빈,119,15,12.61
문세영,정정희,77,12,15.58
문세영,조재로,89,10,11.24
문세영,코지,45,3,6.67
문정균,박태종,25,1,4.0
문정균,씨씨웡,61,4,6.56
문정균,이혁,56,0,0.0
문정균,임다빈,84,2,2.38
문정균,정정희,74,0,0.0
문정균,조재로,76,6,7.89
문정균,코지,29,1,3.45
박태종,씨씨웡,32,2,6.25
박태종,이혁,36,2,5.56
박태종,임다빈,46,3,6.52
박태종,정정희,42,0,0.0
박태종,조재로,44,2,4.55
박태종,코지,18,0,0.0
씨씨웡,이혁,79,8,10.13
씨씨웡,임다빈,116,10,8.62
씨씨웡,정정희,89,9,10.11
씨씨웡,조재로,113,13,11.5
씨씨웡,코지,55,7,12.73
이혁,임다빈,102,5,4.9
이혁,정정희,107,12,11.21
이혁,조재로,113,7,6.19
이혁,코지,59,6,10.17
임다빈,정정희,123,14,11.38
임다빈,조재로,132,6,4.55
임다빈,코지,69,6,8.7
정정희,조재로,118,10,8.47
정정희,코지,70,6,8.57
조재로,코지,88,12,13.64
김성현,김아현,29,0,0.0
김성현,김옥성,38,1,2.63
김성현,김용근,78,5,6.41
김성현,김효정,86,4,4.65
김성현,빅투아르,73,4,5.48
김성현,장추열,74,4,5.41
김성현,조상범,100,4,4.0
김아현,김옥성,11,0,0.0
김아현,김용근,25,0,0.0
김아현,김효정,42,1,2.38
김아현,빅투아르,26,0,0.0
김아현,임다빈,34,1,2.94
김아현,장추열,34,1,2.94
김아현,조상범,49,0,0.0
김아현,조재로,34,0,0.0
김아현,코지,19,1,5.26
김옥성,김용근,43,2,4.65
김옥성,김효정,54,1,1.85
김옥성,빅투아르,43,4,9.3
김옥성,임다빈,49,3,6.12
김옥성,장추열,49,0,0.0
김옥성,조상범,57,1,1.75
김옥성,조재로,49,2,4.08
김옥성,코지,28,0,0.0
김용근,김효정,115,7,6.09
김용근,빅투아르,97,12,12.37
김용근,임다빈,156,3,1.92
김용근,장추열,130,11,8.46
김용근,조상범,132,5,3.79
김용근,조재로,127,20,15.75
김용근,코지,64,1,1.56
김효정,빅투아르,85,12,14.12
김효정,임다빈,124,5,4.03
김효정,장추열,118,11,9.32
김효정,조상범,136,3,2.21
김효정,조재로,121,17,14.05
김효정,코지,64,5,7.81
빅투아르,임다빈,113,6,5.31
빅투아르,장추열,102,13,12.75
빅투아르,조상범,90,2,2.22
빅투아르,조재로,104,10,9.62
빅투아르,코지,59,9,15.25
임다빈,장추열,137,12,8.76
임다빈,조상범,135,7,5.19
장추열,조상범,133,8,6.02
장추열,조재로,147,13,8.84
장추열,코지,95,10,10.53
조상범,조재로,133,6,4.51
조상범,코지,78,3,3.85
김성현,김태훈,49,0,0.0
김성현,이동하,79,10,12.66
김아현,김태훈,30,1,3.33
김아현,문세영,28,2,7.14
김아현,씨씨웡,32,2,6.25
김아현,이동하,31,0,0.0
김태훈,김효정,87,4,4.6
김태훈,문세영,45,6,13.33
김태훈,빅투아르,50,4,8.0
김태훈,씨씨웡,66,3,4.55
김태훈,이동하,84,5,5.95
김태훈,장추열,87,9,10.34
김태훈,조재로,90,6,6.67
김태훈,코지,59,9,15.25
김효정,문세영,73,8,10.96
김효정,씨씨웡,98,6,6.12
김효정,이동하,123,9,7.32
문세영,빅투아르,60,11,18.33
문세영,이동하,92,16,17.39
문세영,장추열,88,19,21.59
빅투아르,씨씨웡,84,14,16.67
빅투아르,이동하,109,14,12.84
씨씨웡,이동하,106,11,10.38
씨씨웡,장추열,124,15,12.1
이동하,장추열,135,15,11.11
이동하,조재로,125,19,15.2
이동하,코지,59,4,6.78
김옥성,문정균,28,1,3.57
김옥성,박태종,19,0,0.0
김옥성,이혁,40,1,2.5
김옥성,정정희,53,1,1.89
김옥성,조한별,56,2,3.57
김옥성,해리카심,40,1,2.5
문정균,빅투아르,58,1,1.72
문정균,조상범,76,0,0.0
문정균,조한별,74,3,4.05
문정균,해리카심,69,0,0.0
박태종,빅투아르,21,2,9.52
박태종,조상범,44,0,0.0
박태종,조한별,39,0,0.0
박태종,해리카심,27,2,7.41
빅투아르,이혁,78,13,16.67
빅투아르,정정희,106,10,9.43
빅투아르,조한별,94,5,5.32
빅투아르,해리카심,68,3,4.41
이혁,조상범,103,5,4.85
이혁,조한별,115,7,6.09
이혁,해리카심,80,6,7.5
정정희,조상범,131,8,6.11
정정희,조한별,129,7,5.43
정정희,해리카심,91,8,8.79
조상범,조한별,145,4,2.76
조상범,해리카심,98,3,3.06
조재로,조한별,141,10,7.09
조재로,해리카심,84,7,8.33
조한별,코지,61,4,6.56
조한별,해리카심,88,2,2.27
코지,해리카심,45,3,6.67
김용근,마이아,103,13,12.62
김용근,문세영,92,8,8.7
김용근,문정균,71,4,5.63
김용근,이동하,141,18,12.77
김용근,이혁,96,4,4.17
김용근,해리카심,101,4,3.96
마이아,문세영,76,15,19.74
마이아,문정균,44,5,11.36
마이아,빅투아르,74,6,8.11
마이아,이동하,97,10,10.31
마이아,이혁,72,7,9.72
마이아,임다빈,95,9,9.47
마이아,장추열,111,14,12.61
마이아,조상범,92,5,5.43
마이아,해리카심,64,4,6.25
문세영,조상범,82,8,9.76
문세영,해리카심,76,7,9.21
문정균,이동하,72,3,4.17
문정균,장추열,64,2,3.12
이동하,이혁,97,11,11.34
이동하,임다빈,143,11,7.69
이동하,조상범,116,4,3.45
이동하,해리카심,95,9,9.47
이혁,장추열,98,9,9.18
임다빈,해리카심,106,3,2.83
장추열,해리카심,84,9,10.71
김성현,김정준,68,2,2.94
김성현,조한별,76,1,1.32
김용근,김정준,88,8,9.09
