기수,마방,기승횟수,입상횟수,입상률%
조재로,안해양,6,1,16.67
김성현,박윤규,8,1,12.5
문세영,이신우,3,2,66.67
씨씨웡,문병기,15,6,40.0
정정희,김동철,32,12,37.5
김철호,최용건,31,8,25.81
문정균,손영표,25,3,12.0
박태종,최봉주,37,8,21.62
임다빈,정호익,125,35,28.0
이혁,서범석,12,2,16.67
코지,안병기,37,14,37.84
코지,박재우,21,7,33.33
빅투아르,함완식,4,2,50.0
조재로,서인석,131,51,38.93
장추열,우창구,37,16,43.24
김옥성,홍대유,35,5,14.29
김용근,송문길,8,1,12.5
김아현,신삼영,12,0,0.0
김성현,김윤섭,18,3,16.67
김효정,안병기,4,0,0.0
조상범,홍대유,10,1,10.0
임다빈,최용구,5,0,0.0
장추열,이신우,17,6,35.29
문세영,김동철,12,9,75.0
김태훈,토니,55,22,40.0
코지,함완식,14,2,14.29
김성현,이관호,16,2,12.5
씨씨웡,박종곤,3,1,33.33
김효정,최봉주,38,10,26.32
이동하,강성오,27,8,29.63
빅투아르,서홍수,5,1,20.0
조재로,최영주,15,4,26.67
김옥성,박병일,10,3,30.0
조한별,이신우,37,13,35.14
이혁,박지헌,31,14,45.16
박태종,서범석,25,4,16.0
조상범,김동균,26,8,30.77
코지,박윤규,5,0,0.0
문정균,최봉주,10,0,0.0
해리카심,홍대유,13,1,7.69
김용근,서인석,28,10,35.71
마이아,박병일,6,4,66.67
조상범,구자흥,11,4,36.36
장추열,홍대유,9,4,44.44
해리카심,강성오,4,2,50.0
이동하,서홍수,40,15,37.5
빅투아르,이관호,23,6,26.09
김효정,서홍수,30,10,33.33
김철호,전승규,5,1,20.0
김용근,강성오,56,16,28.57
김성현,토니,3,0,0.0
조한별,유재길,6,0,0.0
조상범,유재길,11,1,9.09
김정준,박병일,42,17,40.48
이동하,박종곤,19,7,36.84
장추열,이관호,28,9,32.14
김태희,박윤규,40,7,17.5
정정희,리카디,94,42,44.68
조인권,박지헌,12,3,25.0
조한별,김윤섭,22,4,18.18
김효정,문병기,27,11,40.74
해리카심,박윤규,38,13,34.21
조재로,이준철,10,6,60.0
김용근,김동균,33,10,30.3
이동하,박병일,16,6,37.5
조인권,김동균,14,3,21.43
조상범,강성오,14,3,21.43
정정희,최용건,42,16,38.1
장추열,문병기,26,20,76.92
김용근,박윤규,17,7,41.18
임다빈,최영주,7,4,57.14
빅투아르,이준철,52,27,51.92
조한별,박재우,28,4,14.29
