rcDate,rcNo,hrName,jkName,trName,ord
20240414,1,서부챔프,이현종,서인석,1
20240414,1,올아이즈온미,조상범,최용건,2
20240414,1,탑다이아,정정희,리카디,3
20240414,1,음성파워,해리카심,함완식,4
20240414,1,매직사운드,김효정,토니,5
20240414,1,테스타블루,김성현,김윤섭,6
20240414,1,대물삭스,장추열,이관호,7
20240414,1,마루별,빅투아르,정호익,8
20240414,1,피엔에스챔프,오수철,박윤규,9
20240414,1,프로시드,씨씨웡,강성오,10
20240414,2,애플퀸,송재철,토니,1
20240414,2,이스트라이징,조한별,서인석,2
20240414,2,샤인볼트,김철호,김동균,3
20240414,2,컴플리트파티,이동하,강성오,4
20240414,2,스마일골드,정정희,리카디,5
20240414,2,바이롱스타,유승완,최봉주,6
20240414,2,영원하라,김용근,문병기,7
20240414,2,무빙,조인권,함완식,8
20240414,2,용기내요그대,오수철,신삼영,9
20240414,2,삼성여제,김효정,최영주,10
20240414,2,멜로디참,조상범,심승태,11
20240414,3,신의여제,이동하,문병기,1
20240414,3,더선파이터,송재철,토니,2
20240414,3,굿선봉,서승운,심승태,3
20240414,3,서울최강자,이혁,이관호,4
20240414,3,빛의카,박을운,조현수,5
20240414,3,원더풀남촌,김성현,구자흥,6
20240414,3,스트렝스,조재로,김동철,7
20240414,3,러브카우걸,씨씨웡,서범석,8
20240414,3,송암스카이,김정준,박병일,9
20240414,3,원평광야,해리카심,정호익,10
20240414,3,원더풀리걸,조인권,임채덕,11
20240414,4,금악스타,이혁,심승태,1
20240414,4,하트케이,송재철,송문길,2
20240414,4,머스퀸플라이,푸르칸,최용건,3
20240414,4,용비파워,박태종,홍대유,4
20240414,4,로터스미르,김철호,임채덕,5
20240414,4,피엔에스더킹,해리카심,최영주,6
20240414,4,서머파티,김용근,이신영,7
20240414,4,뉴포인트,조상범,손영표,94
20240414,5,짜릿한자유,서승운,최용건,1
20240414,5,리치게이트,장추열,이준철,2
20240414,5,빅스마트,송재철,토니,3
20240414,5,고스트참,씨씨웡,서홍수,4
20240414,5,마구마,오수철,안해양,5
20240414,5,원스피어,김성현,문병기,6
20240414,5,빅에너지,조재로,이관호,7
20240414,5,에브리참,신형철,임채덕,8
20240414,6,마이센터,해리카심,정호익,1
20240414,6,늘가을,이혁,서홍수,2
20240414,6,강풍마,조재로,김동철,3
20240414,6,블랙벨트,정정희,리카디,4
20240414,6,럭키선,장추열,안해양,5
20240414,6,월드참,오수철,유재길,6
20240414,6,울트라갤럭시,씨씨웡,최용건,7
20240414,6,로열로드,김용근,안병기,8
20240414,6,머스탱파워,김태훈,강환민,9
20240414,6,플라잉골드,신형철,강성오,10
20240414,7,[부산경남]벌마의스타,서승운,백광열,1
20240414,7,어마어마,송재철,송문길,2
20240414,7,섬싱로스트,이혁,홍대유,3
20240414,7,대한질주,장추열,김동철,4
20240414,7,[부산경남]대망의길,이성재,김길중,5
20240414,7,모르피스,빅투아르,이관호,6
20240414,7,레전드데이,유승완,김동균,7
20240414,7,[부산경남]쏜살,모준호,이상영,8
20240414,7,[부산경남]킹오브글로리,신윤섭,임성실,9
20240414,7,라온더포인트,최범현,박종곤,10
20240414,7,마이티고,씨씨웡,서홍수,11
20240414,7,[부산경남]해피피버,정동철,하무선,12
20240414,7,[부산경남]닥터시저,진겸,백광열,13
20240414,7,프리맥스,이용호,문병기,14
20240414,7,컴플리트밸류,신형철,이희영,15
20240414,7,이스트제트,문성혁,서인석,16
20240414,8,빈체로카발로,조인권,서인석,1
20240414,8,블랙모션,정정희,리카디,2
20240414,8,미라클한강,유승완,곽영효,3
20240414,8,지구라트,조재로,이관호,4
20240414,8,블루레몬,이동하,문병기,5
20240414,8,브라이트한센,해리카심,함완식,6
20240414,8,동진불패,김정준,박병일,7
20240414,8,장산스포,장추열,최용건,8
20240414,8,라온아메리칸,최범현,박종곤,9
20240414,8,프레시맨,송재철,강환민,10
20240414,8,카우보이탱고,문정균,최봉주,11
20240414,8,금전사,김용근,우창구,12
20240414,8,행복한승자,이용호,토니,13
20240414,8,차돌다이아,박태종,홍대유,13
20240414,9,옐로우캣,김태희,서인석,1
20240414,9,원더풀데블,다비드,리카디,2
20240414,9,라온더아리아,최범현,박종곤,3
20240414,9,러블리케이,김용근,우창구,4
20240414,9,소베라니아,이용호,심승태,5
20240414,9,폴인러브,이동하,강환민,6
20240414,9,천마비상,박태종,서인석,7
20240414,9,더퀸저스티스,장추열,안해양,8
20240414,9,에클레어퓨리,송재철,서홍수,9
20240414,10,크라운함성,장추열,이관호,1
20240414,10,피엔에스아이,해리카심,이희영,2
20240414,10,올포유어드림,김태희,신삼영,3
20240413,1,골드시대,김태훈,리카디,1
20240413,1,엑스팩터,조인권,김동균,2
20240413,1,위드디스쿠로,조한별,최영주,3
20240413,1,히어로골드,이동하,김윤섭,4
20240413,1,캡틴뮤직,조상범,심승태,5
20240413,1,블랙시대,해리카심,강성오,6
20240413,1,라온더파르타,오수철,최용건,7
20240413,1,나우엘리트,이혁,신삼영,8
20240413,1,캔버스엔고,조재로,김동철,9
20240413,1,타이거킹,김용근,안해양,10
20240413,1,베스트마야,송재철,곽영효,11
20240413,2,솔레어,조재로,서홍수,1
20240413,2,오송의별,김철호,박재우,2
20240413,2,대명장,김옥성,홍대유,3
20240413,2,아씨장군,김용근,최용건,4
20240413,2,천지마켓,송재철,김동균,5
20240413,2,주링스카이,조한별,손영표,6
20240413,2,엠케이리,장추열,박재우,7
20240413,2,대원용마,문성혁,서인석,8
20240413,2,필승마,이현종,안병기,9
20240413,3,예지몽,이동하,구자흥,1
20240413,3,피엔에스날라,오수철,박윤규,2
20240413,3,테스타루비,조재로,김동철,3
20240413,3,토호마켓,유승완,김동균,4
20240413,3,라온더클래머,김성현,최용건,5
20240413,3,당찬낭보,김철호,전승규,6
20240413,3,포세이돈블루,김태희,서인석,7
20240413,3,백두대물,김효정,박재우,8
20240413,3,논스톱플레이,이현종,신삼영,9
20240413,3,모쿠슈라,해리카심,정호익,93
20240413,4,선더갤러퍼,문정균,함완식,1
20240413,4,블러드마운틴,이혁,유재길,2
20240413,4,퀸아비게일,조상범,최봉주,3
20240413,4,코스모킹,다비드,서범석,4
20240413,4,글로리참,김태훈,심승태,5
20240413,4,용비천,진겸,구자흥,6
20240413,4,금성탈환,김아현,손영표,7
20240413,4,에버더크라운,조재로,조현수,8
20240413,4,선갤런트,해리카심,서범석,9
20240413,5,베스트클론,이상규,이희영,1
20240413,5,쓸모,서승운,안병기,2
20240413,5,퍼스트슈,조상범,심승태,3
20240413,5,골드베르크,장추열,송문길,4
20240413,5,제우시대,씨씨웡,최용건,5
20240413,5,그린비바체,김태희,구자흥,6
20240413,5,성실영웅,빅투아르,토니,7
20240413,5,용천지상,박태종,최봉주,8
20240413,5,스페셜포스,조인권,임채덕,9
20240413,5,황우강자,김용근,최용구,10
20240413,5,비트업,이혁,이희영,94
20240413,6,에이스군주,김정준,송문길,1
20240413,6,페어스카이즈,유승완,김동균,2
20240413,6,용비불패,박태종,홍대유,3
20240413,6,아마존킹,송재철,토니,4
20240413,6,두손챔프,빅투아르,정호익,5
