age,ageCond,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNameEn,hrNo,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNameEn,jkNo,meet,name,ord,owName,owNameEn,owNo,plcOdds,prizeCond,rank,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sexCond,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNameEn,trNo,track,weather,wgBudam,wgHr,winOdds
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,1,-,우억수로,UEOKSURO,0051544,29,0,0,0,0,0,0,0,조재로,Jo Jae Ro,080550,서울,한국,1,임흥호,Lim Heung Ho,117016,1.2,R0~0,국6등급,0,20250419,토요일,1200,일반,1,75.8,61.4,36.0,13.6,0.0,0.0,24.2,42.2,암,오픈,1,1,1,0,0,1,1,안해양,An Hae Yang,070108,양호 (9%),흐림,55.0,478(-19),2.9
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,5,7,레이디버드,LADYBIRD,1412317,29,0,0,0,0,0,0,0,김성현,Kim Seong Hyun,080612,서울,한국,2,박웅진,Park Ung Jin,103007,2.9,R0~0,국6등급,0,20250419,토요일,1200,일반,1,77.0,62.7,37.0,13.9,0.0,0.0,24.9,43.2,암,오픈,2,4,5,0,0,4,4,박윤규,Park Youn Gu,070117,양호 (9%),흐림,52.0,481(-1),26.8
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,3,목,딕시맨,DIXIE MAN,0051135,29,0,0,0,0,0,0,0,문세영,Moon Se Young,080366,서울,한국,3,정영식,Jeong Young Sik,104154,1.5,R0~0,국6등급,0,20250419,토요일,1200,일반,1,77.1,63.4,37.7,13.9,0.0,0.0,25.3,44.0,수,오픈,4,6,4,0,0,6,6,이신우,Lee Shin Woo,070167,양호 (9%),흐림,57.0,509(+6),7.0
4,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,8,5,붉은태양,BULGEUNTAEYANG,0047547,29,0,0,0,0,0,0,0,씨씨웡,Wong Chin Chuen,080613,서울,한국,4,굿원,Good One,121024,3.8,R0~0,국6등급,0,20250419,토요일,1200,일반,1,77.8,64.3,38.5,14.6,0.0,0.0,25.9,44.8,거,오픈,6,8,10,0,0,8,8,문병기,Moon Byeong Ki,070225,양호 (9%),흐림,57.0,478(-1),28.8
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,9,3,어플리트런,AFLEET RUN,0050785,29,0,0,0,0,0,0,0,정정희,Jeong Jeong Hee,080530,서울,한국,5,최상기,Choi Sang Gi,105263,1.0,R0~0,국6등급,0,20250419,토요일,1200,일반,1,78.4,63.0,36.7,13.7,0.0,0.0,24.5,42.9,거,오픈,3,3,2,0,0,3,3,김동철,Kim Dong Chul,070177,양호 (9%),흐림,57.0,435(-7),1.6
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,4,5,주화,JUHWA,0051139,29,0,0,0,0,0,0,0,김철호,Kim Cheol Ho,080434,서울,한국,6,김철,Kim Cheol,105204,13.7,R0~0,국6등급,0,20250419,토요일,1200,일반,1,79.3,65.1,38.6,14.5,0.0,0.0,26.0,45.1,거,오픈,8,9,9,0,0,10,9,최용건,Choi Yong Geon,070200,양호 (9%),흐림,57.0,447(-8),118.3
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,7,2,코스모밍,COSMO MING,0050824,29,0,0,0,0,0,0,0,문정균,Moon Jung Kyun,080337,서울,한국,7,유수현,Ryu Soo Hyeun,121004,7.7,R0~0,국6등급,0,20250419,토요일,1200,일반,1,79.7,64.6,38.3,14.3,0.0,0.0,25.5,44.8,암,오픈,7,7,8,0,0,7,7,손영표,Son Young Pyo,070150,양호 (9%),흐림,55.0,440(+17),86.8
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,6,½,골드스피닝,GOLD SPINNING,0051930,29,0,0,0,0,0,0,0,박태종,Park Tae Jong,080103,서울,한국,8,우상우,Woo San Gu,110007,20.0,R0~0,국6등급,0,20250419,토요일,1200,일반,1,79.8,65.7,39.5,15.0,0.0,0.0,26.4,46.2,거,오픈,10,11,11,0,0,11,11,최봉주,Choi Bong Ju,070152,양호 (9%),흐림,57.0,475(+16),135.9
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,10,11,문학댄스,MUNHAK DANCE,0050791,29,0,0,0,0,0,0,0,임다빈,Lim Da Bin,080602,서울,한국,9,권경자,Kwon Kyung Ja,105222,8.8,R0~0,국6등급,0,20250419,토요일,1200,일반,1,81.7,65.3,37.3,13.9,0.0,0.0,25.0,43.8,암,오픈,9,5,6,0,0,5,5,정호익,Jung Ho Ik,070148,양호 (9%),흐림,55.0,535(-4),70.0
3,연령오픈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,별정A,0,0,0,16500000,6600000,4200000,1500000,1200000,2,14,차밍큐피드,CHARMING CUPID,0051863,29,0,0,0,0,0,0,0,이혁,Lee Hyeok,080486,서울,한국,10,서순배,Seo Sun Bae,104038,15.2,R0~0,국6등급,0,20250419,토요일,1200,일반,1,84.1,66.8,39.2,14.3,0.0,0.0,26.0,45.9,암,오픈,11,10,7,0,0,9,10,서범석,Seo Bum Seok,070096,양호 (9%),흐림,55.0,411(+7),126.0
