age,chulNo,daySerial,hrName,hrNo,meet,name,nopassReason,owName,owNo,passFlag,reason,rider,sex,trName,trNo,trainDate,trainNo
3,1,29,피엔에스이트,0053537,서울,한국,진입불량,피엔에스커튼월,118008,불합격,출발미합(신),아달쉬 (외국인/트랙라이더),수,박윤규,070117,20260417,1
3,2,29,즐거운빛,0053381,서울,한국,-,이경헌,124041,합격,출발(합격유보),김옥성(기수),암,홍대유,070145,20260417,1
5,3,29,다이나믹송,0046566,서울,한국,-,송암축산,121019,합격,출발지정(재),김태현(기수),암,구자흥,070157,20260417,1
2,4,29,위너남촌,0053949,서울,한국,출발불량,남승현,010252,불합격,출발미합(신),조만근(주로조교),암,구자흥,070157,20260417,1
4,5,29,모닝원더,0051574,서울,한국,-,김중길,105057,합격,출발지정(재),이동하(기수),암,강성오,070174,20260417,1
2,6,29,나르샤스톰,0055501,서울,한국,출발불량,(주)아진화학,125010,불합격,출발미합(신),장추열(기수),수,정호익,070148,20260417,1
2,7,29,로드투챔피언,0057009,서울,한국,-,최종복,065126,합격,출발미합(신),박상우(기수),수,정호익,070148,20260417,1
1,8,29,미스터불스,0056270,서울,한국,-,곽희원,111080,합격,출발미합(신),자임(외국인/트랙라이더),수,이신우,070167,20260417,1
1,9,29,세종비상,0061539,서울,미국,-,정성진,122013,합격,출발미합(신),하피즈(외국인/트랙라이더),수,이신우,070167,20260417,1
2,10,29,세종제왕,0061572,서울,미국,-,정성진,122013,합격,출발미합(신),칼리지(외국인/트랙라이더),수,이신우,070167,20260417,1
3,11,29,빈센트알렉스,0052923,서울,한국,진입불량,신봉훈,124014,불합격,출발지정(재),김수형(주로조교),수,정하백,070293,20260417,1
2,12,29,걸작루비,0055472,서울,한국,출발불량,박덕희,105249,불합격,출발미합(신),김태희(주로조교),암,정하백,070293,20260417,1
2,15,29,걸작윤슬,0055193,서울,한국,진입불량,박덕희,105249,불합격,출발미합(신),황인홍(주로조교),암,정하백,070293,20260417,1
2,17,29,명파워풀,0055356,서울,한국,-,(주)자성실업,106168,합격,출발미합(신),한성혁(주로조교),수,문병기,070225,20260417,1
2,18,29,인투더갤럭시,0055270,서울,한국,-,피닉스,113041,합격,출발미합(신),김영훈(주로조교),수,문병기,070225,20260417,1
1,19,29,레전드몬스터,0056247,서울,한국,-,환상마,124043,합격,출발미합(신),임태양(주로조교),수,안병기,070146,20260417,1
3,20,29,리더스파트너,0053002,서울,한국,진입불량,유성훈,123007,불합격,출발지정(재),김건우(주로조교),거,서홍수,070160,20260417,1
