hrName,hrNo,meet,rating1,rating2,rating3,rating4
군함,0018128,부산경남,83,103.0,,
풀포리스트,0023636,부산경남,83,103.0,104.0,105.0
중원제패,0023855,부산경남,83,103.0,,
영웅등극,0024272,부산경남,73,91.0,,
올수,0024630,부산경남,109,111.0,112.0,
창공일로,0024806,부산경남,52,63.0,,
사랑드림,0024940,부산경남,85,105.0,106.0,106.0
퍼펙트질주,0024952,부산경남,81,101.0,101.0,101.0
하늘의축복,0025070,부산경남,95,115.0,115.0,
고려대장,0025094,부산경남,88,108.0,108.0,
미스윈,0025203,부산경남,73,90.0,,
천지호령,0025242,부산경남,73,90.0,90.0,
고스트위스퍼,0025355,부산경남,123,126.0,128.0,128.0
백호장군,0025941,부산경남,70,87.0,89.0,92.0
대지의빛,0025942,부산경남,73,90.0,,
킹프라다,0025958,부산경남,73,90.0,90.0,
함안돌이,0025977,부산경남,0,0.0,,
더비프로포즈,0026089,부산경남,68,84.0,,
오디세우스,0026104,부산경남,52,63.0,,
최고강자,0026167,부산경남,73,90.0,,
가슴으로,0026271,부산경남,71,88.0,91.0,
마이위너,0026326,부산경남,92,112.0,112.0,112.0
톱랜드,0026441,부산경남,69,85.0,86.0,86.0
프리딕트,0026461,부산경남,82,82.0,79.0,81.0
커플,0026467,부산경남,38,38.0,40.0,42.0
블랙다이아,0026513,부산경남,92,92.0,95.0,92.0
명서히어로,0026533,부산경남,73,90.0,,
노다웃,0026536,부산경남,38,44.0,44.0,
아이앰넘버원,0026544,부산경남,89,109.0,110.0,113.0
부경드림,0026561,부산경남,0,0.0,,
백경,0026615,부산경남,84,104.0,104.0,104.0
경부대로,0026618,부산경남,110,130.0,130.0,133.0
로드투프린스,0026649,부산경남,119,121.0,122.0,
청춘불패,0026671,부산경남,91,92.0,94.0,96.0
금호강자,0026690,부산경남,69,85.0,87.0,87.0
해브투런,0026691,부산경남,25,26.0,26.0,27.0
물꽃,0026702,부산경남,40,46.0,,
드림타워,0026704,부산경남,59,61.0,63.0,66.0
배다리영웅,0026725,부산경남,73,90.0,,
선더스카이,0026736,부산경남,52,62.0,62.0,64.0
아름다운신화,0026782,부산경남,67,82.0,82.0,83.0
원더풀남해,0026822,부산경남,88,108.0,110.0,
금빛총알,0026824,부산경남,67,83.0,85.0,86.0
포리스트볼드,0026825,부산경남,79,81.0,83.0,84.0
켈란,0026884,부산경남,85,105.0,108.0,108.0
그랜드특급,0026886,부산경남,92,112.0,114.0,116.0
바이탈포스,0026925,부산경남,58,70.0,,
상승모드,0026949,부산경남,58,60.0,61.0,61.0
나르자,0027067,부산경남,38,44.0,,
해뜰날,0027071,부산경남,38,44.0,,
천하특급,0027082,부산경남,55,67.0,,
명운제왕,0027083,부산경남,87,107.0,105.0,108.0
