chaksunT,jkName,jkNo,meet,ord1CntT,ord2CntT,ord3CntT,quRateTsum,rcCntT,winRateTsum
0,문세영,080366,1,2054,1543,1168,37.4,9612,21.4
0,김용근,080405,1,1003,831,728,27.7,6621,15.1
0,최범현,080361,1,952,904,790,24.9,7451,12.8
0,신형철,080122,1,801,849,780,21.4,7702,10.4
0,유승완,080417,1,581,521,609,17.7,6233,9.3
0,이혁,080486,1,581,521,526,19.2,5729,10.1
0,장추열,080476,1,578,550,545,22.6,4990,11.6
0,김옥성,080100,1,561,688,793,13.7,9124,6.1
0,문정균,080337,1,523,624,641,15.1,7618,6.9
0,임기원,080487,1,457,360,371,24.8,3292,13.9
0,송재철,080513,1,412,443,461,17.6,4861,8.5
0,김동수,080529,1,322,358,375,18.5,3669,8.8
0,빅투아르,080582,1,322,343,307,22.9,2904,11.1
0,이동하,080562,1,307,280,305,20.7,2838,10.8
0,김철호,080434,1,279,278,305,16.1,3465,8.1
0,김정준,080473,1,275,322,351,14.4,4141,6.6
0,조재로,080550,1,274,274,297,19.4,2828,9.7
0,지하주,080301,1,264,278,306,15.5,3490,7.6
0,정정희,080530,1,214,225,243,14.9,2947,7.3
0,임다빈,080602,1,184,208,229,17.2,2274,8.1
0,김효정,080578,1,139,165,208,12.3,2469,5.6
0,부민호,080418,1,129,126,149,13.2,1930,6.7
0,조한별,080515,1,126,188,193,11.1,2828,4.5
0,윤태혁,080350,1,126,159,148,15.8,1804,7.0
0,이용호,080547,1,120,119,135,13.6,1758,6.8
0,이기회,080394,1,119,157,196,8.1,3388,3.5
0,김태훈,080512,1,118,120,136,13.6,1746,6.8
0,정우주,080588,1,113,123,162,11.1,2130,5.3
0,조상범,080533,1,111,246,225,11.9,3007,3.7
0,씨씨웡,080613,1,98,95,76,26.9,718,13.6
0,김태희,080603,1,92,82,112,13.0,1335,6.9
0,박상우,080457,1,91,149,155,9.6,2499,3.6
0,황순도,080343,1,88,135,153,9.4,2364,3.7
0,최원준,080419,1,88,121,150,10.0,2089,4.2
0,마이아,080616,1,84,85,65,32.6,519,16.2
0,안효리,080500,1,78,83,100,9.9,1626,4.8
0,해리카심,080614,1,68,60,54,16.3,783,8.7
0,이해동,080458,1,62,69,102,8.4,1552,4.0
0,코지,080617,1,58,60,50,25.1,471,12.3
0,이동진,080579,1,56,65,64,12.3,981,5.7
0,이강서,080475,1,56,59,95,9.3,1230,4.6
0,오수철,080608,1,55,87,81,11.8,1202,4.6
0,푸르칸,080611,1,54,76,68,16.7,777,6.9
0,김아현,080598,1,49,83,75,11.0,1195,4.1
0,김태현,080599,1,42,45,54,10.5,831,5.1
0,김성현,080612,1,33,45,57,12.2,641,5.1
0,우인철,080621,1,21,31,26,19.0,273,7.7
0,이상규,080609,1,21,19,35,8.4,475,4.4
0,루이스,080624,1,16,14,14,19.5,154,10.4
0,권중석,080618,1,16,13,14,15.2,191,8.4
0,조성환,080622,1,2,6,8,4.2,192,1.0
0,안드레,080625,1,0,0,0,0.0,0,0.0
14374399881,김용섭,003006,2,1348,1085,1005,26.3,9242,14.6
20537864205,전현준,003070,2,1126,964,895,28.3,7384,15.2
14945884652,장우성,003055,2,959,809,751,25.3,6999,13.7
15377301295,한영민,003058,2,852,803,768,25.1,6584,12.9
15025092905,안득수,003053,2,793,712,700,20.4,7376,10.8
11694412770,정명일,003044,2,739,728,671,20.1,7292,10.1
14705509000,문현진,003080,2,679,588,579,26.1,4847,14.0
12779386732,김준호,003081,2,581,490,438,25.2,4257,13.6
11121304175,강수한,003077,2,554,504,450,25.4,4164,13.3
11398719700,박성광,003089,2,534,455,387,32.0,3093,17.3
11643995565,원유일,003075,2,531,590,594,18.8,5950,8.9
9577824970,김홍권,003082,2,457,393,397,24.4,3478,13.1
8611618384,곽용남,003061,2,426,452,440,18.6,4721,9.0
5524732286,나유나,003066,2,312,326,332,17.2,3714,8.4
6654373100,임재광,003087,2,296,299,314,20.7,2877,10.3
4567154900,이성민,003092,2,206,218,244,16.0,2655,7.8
2695655980,김다영,003073,2,133,188,172,15.9,2015,6.6
2668058700,이소연,003093,2,116,123,137,13.6,1758,6.6
1576543230,김경휴,003079,2,69,91,112,13.7,1164,5.9
1562510000,곽석,003094,2,68,76,89,15.1,955,7.1
