chulGubun,hrNo,korHrnm,prGubun,spTime,stTime,swimTr,time,trDate,trName2
금주출전,0043400,금세다,기수,07:09,07:01,-,8분,2026-04-20,박병일(27조)
금주출전,0042046,엠제이베스트,관리사,08:29,08:16,-,13분,2026-04-20,문병기(21조)
금주출전,0043864,아마존킹,관리사,06:21,06:10,-,11분,2026-04-20,토니(30조)
금주출전,0044846,아치메모리,기수,07:07,06:55,-,12분,2026-04-20,심승태(37조)
금주출전,0038052,서울탱크,기수,07:37,07:26,-,11분,2026-04-20,이동국(17조)
금주출전,0042869,홀리데이참,기수,08:06,07:55,-,11분,2026-04-20,최봉주(16조)
금주출전,0046741,컴플리트파티,기수,06:55,06:45,-,10분,2026-04-20,이신우(14조)
금주출전,0046717,아카펠,관리사,06:20,06:10,-,10분,2026-04-20,서인석(33조)
금주출전,0045828,아만바로우즈,관리사,08:31,08:15,-,16분,2026-04-20,서인석(33조)
금주출전,0040914,챌린지삭스,관리사,07:39,07:29,-,10분,2026-04-20,이관호(42조)
차주출전,0043840,남산무적,관리사,07:14,07:03,-,11분,2026-04-20,강성오(9조)
금주출전,0045894,미스윈스타,기수,07:52,07:40,-,12분,2026-04-20,최봉주(16조)
차주출전,0044487,킹아너,관리사,07:25,07:13,-,12분,2026-04-20,박윤규(4조)
금주출전,0044497,올포유어드림,기수,07:00,06:48,-,12분,2026-04-20,신삼영(41조)
금주출전,0046716,골드뭉치,기수,07:14,07:06,-,8분,2026-04-20,리카디(34조)
차주출전,0045100,텐배거,관리사,07:25,07:12,-,13분,2026-04-20,심승태(37조)
금주출전,0044516,쌍옥루,기수,07:41,07:30,-,11분,2026-04-20,최봉주(16조)
차주출전,0044526,원평코드,관리사,06:52,06:40,-,12분,2026-04-20,박병일(27조)
금주출전,0040921,슈퍼엑톤,관리사,06:19,06:10,-,9분,2026-04-20,강환민(31조)
금주출전,0046756,명진불패,기수,07:31,07:23,-,8분,2026-04-20,문병기(21조)
차주출전,0045900,나올대왕,관리사,06:29,06:20,-,9분,2026-04-20,조현수(11조)
금주출전,3103913,신의명장,관리사,06:40,06:28,-,12분,2026-04-20,이준호(5조)
금주출전,3103906,돈보따리,관리사,06:45,06:34,-,11분,2026-04-20,변용호(2조)
금주출전,3103652,한라제패,조교사,06:12,06:02,-,10분,2026-04-20,강영진(15조)
금주출전,3103949,소록태풍,관리사,06:35,06:23,-,12분,2026-04-20,김태준(6조)
금주출전,3103770,일품가속,관리사,07:50,07:30,-,20분,2026-04-20,이준호(5조)
금주출전,3103685,강한파워,관리사,06:19,06:07,-,12분,2026-04-20,최기호(7조)
금주출전,3103760,백록천하,조교사,07:45,07:21,-,24분,2026-04-20,박병진(18조)
차주출전,3103842,연대기,조교사,07:35,07:18,-,17분,2026-04-20,문성호(8조)
