chaksunY,meet,ord1CntY,ord2CntY,ord3CntY,quRateyear,rcCntY,trName,trNo,winRateyear
0,1,51,29,33,22.3,358,강성오,070174,14.2
0,1,18,24,22,14.4,291,강환민,070175,6.2
0,1,7,8,11,10.9,138,구자흥,070157,5.1
0,1,31,34,44,16.5,395,김동균,070170,7.8
0,1,25,23,22,25.4,189,김동철,070177,13.2
0,1,14,25,12,19.4,201,김윤섭,070103,7.0
0,1,56,42,36,34.0,288,리카디,070244,19.4
0,1,67,52,42,30.9,385,문병기,070225,17.4
0,1,0,0,0,0.0,0,문세영,070290,0.0
0,1,14,24,13,20.9,182,박병일,070163,7.7
0,1,18,27,17,15.3,294,박윤규,070117,6.1
0,1,27,28,31,15.6,353,박재우,070164,7.6
0,1,34,33,24,30.6,219,박종곤,070095,15.5
0,1,32,23,24,22.5,244,박지헌,070264,13.1
0,1,2,2,2,5.6,72,박천서,070115,2.8
0,1,4,10,10,6.5,217,배휴준,070144,1.8
0,1,0,0,0,0.0,0,백종수,070300,0.0
0,1,19,17,23,15.3,236,서범석,070096,8.1
0,1,50,39,63,17.1,520,서인석,070165,9.6
0,1,31,36,37,19.3,347,서홍수,070160,8.9
0,1,9,8,5,20.7,82,성상현,070289,11.0
0,1,40,38,50,22.0,354,송문길,070179,11.3
0,1,8,5,11,7.8,167,신삼영,070161,4.8
0,1,11,20,20,10.7,291,심승태,070166,3.8
0,1,37,36,24,24.1,303,안병기,070146,12.2
0,1,20,24,27,18.8,234,우창구,070149,8.5
0,1,0,0,0,0.0,0,이강서,070304,0.0
0,1,38,58,32,20.5,468,이관호,070181,8.1
0,1,10,13,15,11.4,201,이동국,070247,5.0
0,1,30,26,45,16.1,348,이신우,070167,8.6
0,1,54,41,32,35.1,271,이준철,070197,19.9
0,1,9,16,11,11.6,215,임채덕,070198,4.2
0,1,29,25,35,21.8,248,전승규,070182,11.7
0,1,9,11,12,19.4,103,정하백,070293,8.7
0,1,44,46,55,20.9,430,정호익,070148,10.2
0,1,10,20,18,12.0,251,조현수,070199,4.0
0,1,0,0,0,0.0,0,차우호,070305,0.0
0,1,10,26,19,14.3,251,최봉주,070152,4.0
0,1,18,17,11,19.4,180,최영주,070098,10.0
0,1,45,39,37,27.1,310,최용건,070200,14.5
0,1,20,14,20,20.7,164,최용구,070168,12.2
0,1,31,24,28,20.8,265,토니,070265,11.7
0,1,23,24,30,17.5,269,함완식,070248,8.6
0,1,32,35,40,17.2,389,홍대유,070145,8.2
0,1,11,7,11,16.8,107,홍윤화,070306,10.3
414550000,2,16,27,18,14.9,288,강대은,002027,5.6
1461010000,2,62,56,52,24.4,483,강영진,002033,12.8
1051290000,2,43,53,45,26.7,359,강태종,002036,12.0
1696465000,2,69,54,45,30.0,410,고영덕,002026,16.8
1133750000,2,47,53,37,23.8,420,김길홍,002038,11.2
394110000,2,17,12,13,18.5,157,김대연,002042,10.8
886570000,2,30,32,39,15.5,399,김태준,002032,7.5
375920000,2,12,26,20,13.5,281,문성호,002039,4.3
923180000,2,27,37,50,17.5,365,박병진,002028,7.4
482000000,2,20,21,19,14.1,291,변용호,002013,6.9
979285000,2,50,33,44,24.2,343,신경호,002018,14.6
1240405000,2,58,47,44,27.0,389,심도연,002031,14.9
687650000,2,26,27,28,13.0,409,윤덕상,002021,6.4
284360000,2,6,16,31,9.0,244,윤호상,002041,2.5
1390310000,2,59,64,72,22.1,557,이준호,002029,10.6
2140020000,2,99,85,60,36.8,500,이태용,002034,19.8
0,2,0,0,0,0.0,0,장우성,002043,0.0
328980000,2,14,16,13,13.6,220,최기호,002030,6.4
722355000,2,23,22,41,11.2,403,한상배,002023,5.7
0,3,28,33,31,19.7,309,강은석,070223,9.1
0,3,21,13,17,9.2,370,강형곤,070134,5.7
0,3,30,26,30,20.8,269,구민성,070173,11.2
0,3,13,12,18,11.3,222,구영준,070176,5.9
0,3,0,0,0,0.0,0,구현완,070301,0.0
0,3,45,51,40,20.7,464,권승주,070086,9.7
0,3,25,37,49,17.7,350,김길중,070126,7.1
0,3,18,26,16,20.1,219,김도현,070250,8.2
0,3,7,4,12,13.8,80,김혜선,070292,8.8
0,3,52,36,38,24.6,358,라이스,070186,14.5
0,3,48,35,25,34.7,239,문현철,070249,20.1
0,3,31,31,39,19.4,320,민장기,070136,9.7
0,3,20,25,19,19.8,227,박재호,070226,8.8
0,3,31,22,23,23.2,228,방동석,070142,13.6
0,3,51,59,50,24.4,451,백광열,070130,11.3
0,3,9,10,10,9.4,202,손병직,070246,4.5
0,3,0,0,0,0.0,0,손병철,070302,0.0
0,3,16,31,37,14.9,315,안우성,070180,5.1
0,3,11,17,19,11.7,239,양영남,070263,4.6
0,3,20,16,15,20.6,175,유현명,070291,11.4
0,3,30,29,21,20.4,289,이상영,070141,10.4
0,3,21,22,21,17.3,248,이정표,070132,8.5
0,3,24,34,27,22.6,257,임금만,070128,9.3
0,3,35,24,24,24.2,244,임성실,070251,14.3
0,3,16,21,23,12.8,290,장세한,070127,5.5
0,3,11,22,22,6.9,477,조용배,070137,2.3
0,3,29,30,26,24.3,243,최기홍,070129,11.9
0,3,0,0,0,0.0,0,최시대,070303,0.0
0,3,50,38,32,27.2,324,토마스,070194,15.4
0,3,16,10,16,12.3,211,하무선,070143,7.6
